news_001906: 新聞魔法｜蘋果新聞網｜蘋果日報, eucDis = 2.6457513110645907
news_019526: 地方掃描－彰縣贈8300份禮袋 鼓勵親子共讀 - 地方新聞 - 中國時報, eucDis = 17.303884960795514
news_006363: 地方掃描－外勞排球友誼賽 菲勞奪冠軍 - 地方新聞 - 中國時報, eucDis = 17.316351813972343
news_013051: 美國職籃賽程 5月22日(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 17.31901450666199
news_067356: 威力彩頭獎槓龜 - 財經 - 中央社, eucDis = 17.32197306664793
news_030462: 閃亮聖誕｜蘋果新聞網｜蘋果日報, eucDis = 17.326006530380372
news_064008: 周四五鋒面通過　各地有雨有大雨│TVBS新聞網, eucDis = 17.331799776100485
news_099680: 小樹蛙 揉揉眼｜蘋果新聞網｜蘋果日報, eucDis = 17.331844433072366
news_012326: 冰凝玫瑰｜蘋果新聞網｜蘋果日報, eucDis = 17.331877061508425
news_036282: 美國職棒賽程 10月16日(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 17.345833742731866
news_018018: Non, eucDis = 17.34719166355842
news_053734: 中共中央經濟工作會議12月召開 - 兩岸 - 旺報 , eucDis = 17.354984420468767
news_058890: 記者推薦月餅 台北通路篇－京站 馬來亞廣式月餅經典鐵盒 - 時尚消費 - 中國時報, eucDis = 17.358261718968777
news_006957: 壽險公司保單借款利率一覽｜蘋果新聞網｜蘋果日報, eucDis = 17.361066469220724
news_033020: 林真邑買房地產賺1500萬｜蘋果地產｜蘋果新聞網｜蘋果日報, eucDis = 17.361066469220724
news_061862: 德國照明及建築科技展 光彩動人｜蘋果地產｜蘋果新聞網｜蘋果日報, eucDis = 17.361066469220724
news_041307: 《蘋果數》劍橋年發千萬個保險套｜蘋果新聞網｜蘋果日報, eucDis = 17.370289308250207
news_067566: 日本內閣總務大臣參拜靖國神社 - 國際 - 中廣, eucDis = 17.37843693421004
news_088296: 台股收盤跌 28.3點 - 財經 - 中央社, eucDis = 17.379416713812713
news_070103: 台灣產物前11月每股稅前盈餘新台幣2.47元 - 財經 - 工商 , eucDis = 17.38074142523465
news_039609: 新台幣早盤升9.2分 - 財經 - 中央社, eucDis = 17.38100133719533
news_012130: 蜘蛛人造勢 - 國際 - 自由時報電子報, eucDis = 17.390506931948604
news_061627: 美元走貶 國際油價走高 | 全球財經 | 全球 | 聯合新聞網, eucDis = 17.398048667202236
news_007592: Shn動靜個性搞互補｜蘋果新聞網｜蘋果日報, eucDis = 17.401828116723017
news_008609: 河北港口貨物吞吐量突破7000萬噸 - 兩岸 - 工商 , eucDis = 17.41545458603502
news_082226: 花邊教主 孕肚激凸見客｜蘋果新聞網｜蘋果日報, eucDis = 17.42186621597139
news_031514: 地方掃描－優良餐廳評鑑 10日前報名 - 地方新聞 - 中國時報, eucDis = 17.425163523880975
news_061292: 幸福前董座鄧文聰收押 高院撤銷 發回更裁 - 社會 - 中時 , eucDis = 17.427697547905996
news_038411: 【世界翻轉中】星國東西匯流　成比特幣創業天堂│TVBS新聞網, eucDis = 17.437262044678505
news_015512: 消費快訊－免費動態貼圖 WCha談情說愛 - 時尚消費 - 中國時報, eucDis = 17.438052020813295
news_059965: 登革熱奪54命｜蘋果新聞網｜蘋果日報, eucDis = 17.447476920471534
news_048217: 桃園縣 23日停班停課 - 社會 - 中央社, eucDis = 17.457660663417364
news_003354: 快訊／花蓮和平村26日晚間預警性撤離22人│TVBS新聞網, eucDis = 17.46175298634955
news_075640: 美味一層層｜蘋果新聞網｜蘋果日報, eucDis = 17.462008967845687
news_007764: 女子罵警 拘留5天｜蘋果新聞網｜蘋果日報, eucDis = 17.46360734763235
news_020791: 賭盤分析｜蘋果新聞網｜蘋果日報, eucDis = 17.46488919605726
news_016718: 科威特原油明年1月OSP 創下2008年12月以來新低 - 財經 - 工商 , eucDis = 17.46564070499382
news_005744: 威力彩》頭獎摃龜 - 社會 - 自由時報電子報, eucDis = 17.468319079468895
news_099521: 校園有機餐｜蘋果新聞網｜蘋果日報, eucDis = 17.47058614282846
news_033740: 《農民曆小幫手》國曆七月十九日 - 娛樂 - 中時電子報, eucDis = 17.476710740729004
news_027424: 地方掃描－臺東美術學會聯展 - 地方新聞 - 中國時報, eucDis = 17.478037524322442
news_048387: 博客來推兒童節福袋｜蘋果新聞網｜蘋果日報, eucDis = 17.48260036076966
news_005317: 西班牙第3季失業率降至23.7％ - 國際 - 工商 , eucDis = 17.48416602089238
news_086169: 地方掃描－義峰高中5師生 技能檢定過關 - 地方新聞 - 中國時報, eucDis = 17.49130787578753
news_050356: 新台幣早盤升2.2分 - 財經 - 中央社, eucDis = 17.49229410509331
news_062145: FOX《辛普森家庭》25周年 邵庭扮美枝 - 娛樂 - 中時 , eucDis = 17.501077798103918
news_037264: 北市情殺案 家屬晚間招魂 - 社會 - 中時 , eucDis = 17.519366668240412
news_035785: 空鐵聯運見成效 石家莊機場客流量增6成 - 兩岸 - 工商 , eucDis = 17.52285484751705
news_068666: 經紀人Bn斷手擋煞｜蘋果新聞網｜蘋果日報, eucDis = 17.529847274176216
news_001536: 每日一短蘋｜蘋果新聞網｜蘋果日報, eucDis = 17.532520872998592
news_057574: 《愛的奇蹟II跳舞吧！J-STAR》｜蘋果新聞網｜蘋果日報, eucDis = 17.53790308457784
news_024643: 地方掃描－瘋寶可夢 手機成癮易焦躁 - 地方新聞 - 中國時報, eucDis = 17.539235293211462
news_088755: 潘瑋柏為跨年晚會表演排練 - 娛樂 - 中時 , eucDis = 17.543558210928207
news_076598: 台股收盤漲 95.48點 - 財經 - 中央社, eucDis = 17.54431791771001
news_078558: 97學年度大學指考試題與參考答案 數學甲科｜蘋果新聞網｜蘋果日報, eucDis = 17.547238204276514
news_071057: 地方掃描－搶打狂犬病疫苗 鄉所前排長龍 - 地方新聞 - 中國時報, eucDis = 17.555894885238246
news_025163: 退場倒數計時 學生議場自彈自唱 - 政治 - 中時 , eucDis = 17.55940973250424
news_035854: 澳兵東帝汶維安｜蘋果新聞網｜蘋果日報, eucDis = 17.56298703864401
news_027880: 大樂透頭獎摃龜 - 社會 - 自由時報電子報, eucDis = 17.565932640096282
news_023348: 曹蘭燙傷冰敷自嘲像賣冰女｜蘋果新聞網｜蘋果日報, eucDis = 17.574190671967298
news_039069: 全球地區衝突 客機成箭靶 - 國際 - 工商 , eucDis = 17.57429976778213
news_014272: 平溪天燈節 喜羊羊主燈亮相 - 生活 - 中時 , eucDis = 17.587483137415276
news_098715: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 17.594011684501325
news_051175: 台股開盤跌19.54點 - 財經 - 中央社, eucDis = 17.596917814834352
news_057092: 【MLB】728精采好球 巨人4:2釀酒人｜蘋果新聞網｜蘋果日報, eucDis = 17.599206125779347
news_097656: 台股開盤下跌8.05點 - 財經 - 中央社, eucDis = 17.607800396267017
news_022113: 地方掃描－縣長盃書法賽 200人參賽 - 運動天地 - 中國時報, eucDis = 17.607805501329832
news_068574: 【吃喝玩樂】快按讚加入蘋果副刊官方粉絲團「吃喝玩樂蘋果花」吧！｜蘋果新聞網｜蘋果日報, eucDis = 17.610996372414537
news_001379: 快訊／加油趁早　台塑石化週一調漲汽柴油0.3元│TVBS新聞網, eucDis = 17.618349632286836
news_092242: 《DIAMOND WAVE》｜蘋果新聞網｜蘋果日報, eucDis = 17.618739808219022
news_010870: 美人坐 大王蓮｜蘋果新聞網｜蘋果日報, eucDis = 17.619191427605454
news_052152: 雲南永勝縣發生規模4.2地震 - 兩岸 - 中時 , eucDis = 17.62752988578315
news_058814: 《蘋果》民調｜蘋果新聞網｜蘋果日報, eucDis = 17.63664008669446
news_058347: 地方掃描－警分局臨時人員車禍不治 妻小待援 - 地方新聞 - 中國時報, eucDis = 17.637030607865583
news_024054: 地方掃描－中榮替代役男挽袖捐熱血 - 地方新聞 - 中國時報, eucDis = 17.638309256307856
news_063458: 台股收盤漲12.29點 - 財經 - 中央社, eucDis = 17.64452436180225
news_033160: 中天「新聞龍捲風」 線上直播-20140422 - 娛樂 - 快點TV, eucDis = 17.648128880393077
news_018589: 智利3月CPI 月增0.6％ - 國際 - 工商 , eucDis = 17.657079865946734
news_018622: 過年出遊必備 時尚女包｜蘋果新聞網｜蘋果日報, eucDis = 17.663104780452386
news_074452: 地方掃描－長庚醫院雲林分院 免費健檢 - 地方新聞 - 中國時報, eucDis = 17.67229549738465
news_020918: 02 17 21 28 30 35 渾然天成｜蘋果新聞網｜蘋果日報, eucDis = 17.677554180887938
news_089055: 淡馬錫 減持建行5438萬股 - 兩岸 - 旺報 , eucDis = 17.69663401614569
news_078489: 明星投籃賽 包許隊3連霸｜蘋果新聞網｜蘋果日報, eucDis = 17.69828849363467
news_037639: 大樂透開獎號碼07、10、16、17、30、43 特別號23 - 焦點 - 中廣, eucDis = 17.705082298938073
news_016776: 九十五學年度大學指考組合成績人數累計表｜蘋果新聞網｜蘋果日報, eucDis = 17.712225661387265
news_010479: 香港9月住宅樓宇買賣合約宗數 創4年新高 - 兩岸 - 工商 , eucDis = 17.715480699069456
news_046333: 動保團體籲禁止化妝品動物實驗 - 生活 - 中時 , eucDis = 17.715494956001585
news_074356: 地方掃描－李進勇吹薩克斯風 宴饗媽媽級公僕 - 地方新聞 - 中國時報, eucDis = 17.718644621097763
news_022442: 大韓民國萬歲 賣衣賺到西瓜｜蘋果新聞網｜蘋果日報, eucDis = 17.723994119681436
news_051355: CHOPARD 彩色寶石迷魂陣 - 《旺來報》 - 中國時報, eucDis = 17.730344486365812
news_052298: 熱情森巴 挑逗男眾｜蘋果新聞網｜蘋果日報, eucDis = 17.749250537321988
news_005900: 半透明彩色蜥蜴｜蘋果新聞網｜蘋果日報, eucDis = 17.753696279240355
news_017197: 都會掃描－亞太物流義賣 取代尾牙 - 焦點要聞 - 中國時報, eucDis = 17.755822656670166
news_011396: 陳致中︰豈能挾持人質逼人就範 - 焦點 - 自由時報電子報, eucDis = 17.758315646963382
news_061997: 運動交友 一舉兩得｜蘋果新聞網｜蘋果日報, eucDis = 17.76532809193404
news_070961: 都會掃描－高美館 招募導覽志工 - 藝文副刊 - 中國時報, eucDis = 17.766068018629525
news_024629: 台股收盤漲12.66點 - 財經 - 中央社, eucDis = 17.766848230281305
news_079745: 百年婚紗流傳四代｜蘋果新聞網｜蘋果日報, eucDis = 17.76785773707628
news_027476: 都會掃描－客家武獅 周末尬舞 - 焦點要聞 - 中國時報, eucDis = 17.778133323380494
news_074265: 今彩539 頭獎1注中獎 - 財經 - 中央社, eucDis = 17.7794206436472
news_067384: 地方掃描－家被燒光 八旬夫婦無家可歸 - 地方新聞 - 中國時報, eucDis = 17.781007696741373
news_056413: 《農民曆小幫手》國曆十二月二十日 - 焦點 - 中時電子報, eucDis = 17.78751718308391
news_023010: 英超賭盤擂台｜蘋果新聞網｜蘋果日報, eucDis = 17.79023444991277
news_004333: 台股開盤漲5.36點 - 財經 - 中央社, eucDis = 17.792159582597332
news_069596: 原住民升狼煙 抗議課綱微調 - 社會 - 中時 , eucDis = 17.79299071744271
news_048934: 馬航失聯班機陸乘客家屬抵達吉隆坡 - 國際 - 旺報 , eucDis = 17.793564394997794
news_090542: 胡宇威受封 透白王子 - 娛樂 - 中時 , eucDis = 17.796348993378366
news_012786: 吳茂昆請辭 台大校長問題尚在 | 吳茂昆請辭獲准 | 要聞 | 聯合新聞網, eucDis = 17.800715822820628
news_072708: 台股開盤 漲8.68點 - 財經 - 中央社, eucDis = 17.804388866009344
news_073095: 《逆轉勝》今辦台北星光首映會 - 娛樂 - 中時 , eucDis = 17.804828161091798
news_046236: 受罷工影響 旅客大排長龍 - 生活 - 中時 , eucDis = 17.810276982541218
news_012663: 圖紋小童襪俏皮可愛｜蘋果新聞網｜蘋果日報, eucDis = 17.821540990845996
news_091349: 台股開盤上漲44.5點 - 財經 - 中央社, eucDis = 17.821868420891125
news_026460: 香港珠寶購物節 開幕 | 大陸傳真 | 兩岸 | 聯合新聞網, eucDis = 17.8250560652192
news_091635: 呂業升任廣東東莞市委書記 - 兩岸 - 工商 , eucDis = 17.829407834958353
news_097559: Rn勁歌拚日本妹｜蘋果新聞網｜蘋果日報, eucDis = 17.837827063101596
news_053257: 逾萬人齊刷牙｜蘋果新聞網｜蘋果日報, eucDis = 17.838255888745913
news_018702: 快訊／不輕忽！流感疫情趨緩「重症」　單週仍破百例│TVBS新聞網, eucDis = 17.839310834854476
news_049938: 都會掃描－人口突破十五萬 竹北喊好幸福 - 地方新聞 - 中國時報, eucDis = 17.84490511426648
news_080471: NBA今日(22日)戰果 - 體育 - 中時電子報, eucDis = 17.845374513754358
news_088823: 今彩539  頭獎2注中獎 - 財經 - 中央社, eucDis = 17.85365282456166
news_001492: Non, eucDis = 17.854548297315358
news_078812: 地方掃描－科技警玩電玩 找到失蹤少年 - 地方新聞 - 中國時報, eucDis = 17.868979325715365
news_087798: 防性騷擾 拒被物化｜蘋果新聞網｜蘋果日報, eucDis = 17.87201850308221
news_004331: 紀曉君下工 哈欠吸風｜蘋果新聞網｜蘋果日報, eucDis = 17.87342370867538
news_066175: 兩岸放送頭－美媒：中再試射東風31Ａ導彈 - 兩岸要聞 - 中國時報, eucDis = 17.87456958358497
news_008260: 7月投打MVP｜蘋果新聞網｜蘋果日報, eucDis = 17.87518732809836
news_041479: 美國職籃賽程 5月5日(台灣時間)｜蘋果新聞網｜蘋果日報, eucDis = 17.876087574452008
news_078436: 學童軍演 鍛鍊身心｜蘋果新聞網｜蘋果日報, eucDis = 17.877483055832034
news_088428: 今彩539 頭獎2注中獎 - 財經 - 中央社, eucDis = 17.880691101903892
news_065479: 海豹共舞｜蘋果新聞網｜蘋果日報, eucDis = 17.88202924861395
news_043907: Non, eucDis = 17.88657033283213
news_007414: 5大對戰主球場導覽｜蘋果新聞網｜蘋果日報, eucDis = 17.888729132778025
news_082386: 本版小啟 - 兩岸新聞 - 旺報, eucDis = 17.89925337522736
news_017570: 每日一短蘋｜蘋果新聞網｜蘋果日報, eucDis = 17.89978001144764
news_025155: 賭盤分析｜蘋果新聞網｜蘋果日報, eucDis = 17.90134036977031
news_007618: 總統府前元旦升旗 挺扁民眾前往抗議 - 政治 - 中時 , eucDis = 17.90716136368862
news_095955: 〈快訊〉成功前金路口地塌　雨灌路面大破洞│TVBS新聞網, eucDis = 17.909038896053733
news_094370: 新台幣午盤貶4.3分 暫收30.688元 | 金融要聞 | 產經 | 聯合新聞網, eucDis = 17.912233131202335
news_023959: ​〈快訊〉中山會報　馬總統告知黨務主管將辭黨魁│TVBS新聞網, eucDis = 17.917028121698603
news_078548: 羅傑斯稱 黃金跌到950美元會抄底 - 財經 - 旺報 , eucDis = 17.92921032173676
news_083036: 土耳其去年失業率 升至9.7％ - 國際 - 工商 , eucDis = 17.9311909623294
news_016976: 快訊／「灣生回家」作者造假　消基會：可要求退費│TVBS新聞網, eucDis = 17.938327054776803
news_029625: 加Honda官帳為好友 進擊的上班族貼圖免費下載！ - 科技 - app01, eucDis = 17.942811595929722
news_034292: 本周熱門DVD排行榜｜蘋果新聞網｜蘋果日報, eucDis = 17.947869161541274
news_044510: 【這不是新聞】宅男之間的決鬥靠這個…如果電話亭！讓我成為武術高手吧！｜蘋果新聞網｜蘋果日報, eucDis = 17.9571021644462
news_010513: 地方掃描－雙和醫院看診 公車族更方便 - 地方新聞 - 中國時報, eucDis = 17.95959352809692
news_049313: 〈快訊〉違法矽膠隆乳　李進良遭判6月定讞│TVBS新聞網, eucDis = 17.96203722942481
news_002282: 尾數報馬仔－1 0 5 8尾 勝者為王 - 《旺到報》 - 中國時報, eucDis = 17.96288974958416
news_069820: 大福彩頭獎約1.23億 1人獨得 - 財經 - 中央社, eucDis = 17.962968015435596
news_029961: 裸奔鬧場｜蘋果新聞網｜蘋果日報, eucDis = 17.96811379968513
news_083999: 2千警救林場｜蘋果新聞網｜蘋果日報, eucDis = 17.975202256135915
news_093313: 地方掃描－林芳志、莊天基 榮獲特優里長 - 地方新聞 - 中國時報, eucDis = 17.977780214830243
news_056004: 建商舉辦高球賽　行銷半山豪宅│TVBS新聞網, eucDis = 17.98300037121262
news_058407: 魔幻風家飾 打造萬聖節氣氛｜蘋果新聞網｜蘋果日報, eucDis = 17.992673325178316
news_015001: 新台幣早盤貶 2.8分 - 財經 - 中央社, eucDis = 17.994068150132374
news_050612: 小檔案—冥婚 - 社會 - 自由時報電子報, eucDis = 17.997355210068513
news_062232: 路透：北韓領導人金正恩將於今晚9點飛離新加坡 | 川金峰會登場 | 全球 | 聯合新聞網, eucDis = 17.997975868464543
news_032803: 人間詩選－賞詩團 - 藝文副刊 - 中國時報, eucDis = 18.008039664478037
news_013173: 大樂透 頭獎1注獨得 - 社會 - 自由時報電子報, eucDis = 18.011015164440586
news_078311: 【不准笑】你不懂我們胖子的困擾！｜蘋果新聞網｜蘋果日報, eucDis = 18.01713883699017
news_070864: 二軍代訓賽投打特殊表現｜蘋果新聞網｜蘋果日報, eucDis = 18.018400690046956
news_007508: 宏達電7月營收持平 月減0.6% - 財經 - 中央社, eucDis = 18.020733668785578
news_039921: 賭盤分析｜蘋果新聞網｜蘋果日報, eucDis = 18.02282796125063
news_080060: 艾力克鮑溫Q兒 化身《寶貝老闆》｜蘋果新聞網｜蘋果日報, eucDis = 18.034386613492874
news_081957: 〈快訊〉中華女子銳劍奪首勝！　徐若庭晉32強│TVBS新聞網, eucDis = 18.044207461981433
news_034960: 陳樹菊胞兄 抗議遭強制退休 - 社會 - 中時 , eucDis = 18.052420019145302
news_053356: 都會掃描－通緝犯腳傷復發就醫 院外抽菸被逮 - 地方新聞 - 中國時報, eucDis = 18.056384400675785
news_031003: 兩會 花  絮－四川政府：公安沒介入王立軍案 - 地方新聞 - 中國時報, eucDis = 18.05998792141775
news_089273: 艾希頓滑雪擺酷裝行｜蘋果新聞網｜蘋果日報, eucDis = 18.061307797583613
news_021937: 快訊／當街喋血！2男口角持刀互砍　1人重傷│TVBS新聞網, eucDis = 18.068254221723
news_095647: 茭白筍 鴨子穿梭樂 泥濘中採割 - 《旺到報》 - 中國時報, eucDis = 18.072367035089666
news_091311: 9:42花蓮秀林　規模4.4地震│TVBS新聞網, eucDis = 18.07960431334314
news_044984: 美國航空首季淨利達9.32億美元 - 國際 - 工商 , eucDis = 18.08175047359011
news_046901: Ho全球 百萬威士忌｜蘋果新聞網｜蘋果日報, eucDis = 18.085367833413773
news_048057: 秋季時尚穿搭 從手錶開始｜蘋果新聞網｜蘋果日報, eucDis = 18.086436767455083
news_080520: 高人一等！平底鞋「隱形」增高，業者？│TVBS新聞網, eucDis = 18.086657344209385
news_000395: 都會掃描－器捐者感恩音樂會 傳愛無界 - 藝文副刊 - 中國時報, eucDis = 18.09983849678472
news_048440: 新台幣早盤走升 - 財經 - 中央社, eucDis = 18.100244063609892
news_041728: 枝仔冰黏巴達｜蘋果新聞網｜蘋果日報, eucDis = 18.11071150105804
news_074834: 來找碴｜蘋果新聞網｜蘋果日報, eucDis = 18.114784852427118
news_048708: 快訊／伊波拉死灰復燃　獅子山旅警提升「紅燈」│TVBS新聞網, eucDis = 18.129437592408646
news_029988: 地方掃描－查毒澱粉 衛生局出動 - 地方新聞 - 中國時報, eucDis = 18.133568356337708
news_086736: 《蘋果》民調｜蘋果新聞網｜蘋果日報, eucDis = 18.150170233773682
news_099475: 國泰世華上海自貿區支行揭牌了 - 兩岸 - 中央社, eucDis = 18.15224505138078
news_035631: 裸胸熱舞｜蘋果新聞網｜蘋果日報, eucDis = 18.152514200133258
news_007659: 快訊／食藥署驗6批冠脂妥！　除MV503其他皆真藥│TVBS新聞網, eucDis = 18.15861719469255
news_039255: 陳婕綸拿榔頭 比基尼玩酷 - 娛樂新聞 - 中國時報, eucDis = 18.16360453223469
news_098234: 【MLB】826精采好球 皇家3:2金鶯｜蘋果新聞網｜蘋果日報, eucDis = 18.170271468606924
news_089879: 終於！立院議場正中央內側大門打開 - 政治 - 中時 , eucDis = 18.170700229265066
news_044546: 快訊／大雨特報　新北、基隆、宜蘭防大雨│TVBS新聞網, eucDis = 18.17177219327338
news_014328: Non, eucDis = 18.1746069808418
news_092623: 漢堡王14日起 買大可送漢堡 - 生活 - 中時 , eucDis = 18.1841176250355
news_048587: 專家預言15年內 機器人可與人調情 - 科技 - 旺報 , eucDis = 18.18537883858093
news_078533: 每日一短蘋｜蘋果新聞網｜蘋果日報, eucDis = 18.18720766126487
news_051131: 丁力祺拍戲 師姐蘇意菁探班 - 娛樂 - 中時 , eucDis = 18.190006430322377
news_031946: 變形隊長萌兒 滿臉啥咪兜風｜蘋果新聞網｜蘋果日報, eucDis = 18.193113079222588
news_024378: 統一開放油槽供參觀 - 生活 - 中央社, eucDis = 18.193137110352005
news_071640: Non, eucDis = 18.20286250748465
news_042848: 開球秀 迎接卡提諾正妹 2捕被放鳥｜蘋果新聞網｜蘋果日報, eucDis = 18.203532981638123
news_007808: 席琳狄翁《奇蹟》當老四｜蘋果新聞網｜蘋果日報, eucDis = 18.20934991014382
news_034485: 〈快訊〉旗津中洲碼頭1男釣客溺水　警消現場搜救│TVBS新聞網, eucDis = 18.212010248949554
news_033987: 消費快訊－Ds音樂系統寢具 前衛黑白配 - 時尚消費 - 中國時報, eucDis = 18.219764528789174
news_090950: 小啟 - 兩岸藝文 - 旺報, eucDis = 18.222056736723843
news_015944: 快訊／保養槍枝走火　國道警察左手掌中彈│TVBS新聞網, eucDis = 18.22327511789004
news_015909: 複製牛誕生 具狂牛抗體｜蘋果新聞網｜蘋果日報, eucDis = 18.2400473647886
news_012110: 混血威廉 手扒麵線｜蘋果新聞網｜蘋果日報, eucDis = 18.264389695691673
news_045947: Non, eucDis = 18.264617153454974
news_048079: 今天我最炫 Godn Rrvr Fds Kn｜蘋果新聞網｜蘋果日報, eucDis = 18.264654072392158
news_070847: 消費快訊－不倒翁點火器 造型有創意 - 時尚消費 - 中國時報, eucDis = 18.26932604487793
news_009173: 地方掃描－紫斑蝶快來了 茂林準備迎客 - 地方新聞 - 中國時報, eucDis = 18.269813815473864
news_054048: 《蘋果》民調：請問民進黨主席蔡英文與現任總統馬英九兩人競選2012總統，你支持誰？｜蘋果新聞網｜蘋果日報, eucDis = 18.275660953621752
news_063384: 反黑箱課綱論壇 濟南路登場 - 生活 - 中時 , eucDis = 18.284951844210966
news_064495: 〈快訊〉立榮增飛台東-高雄！　台東災民打8折│TVBS新聞網, eucDis = 18.285401578646912
news_030444: 〈快訊〉抗告押扁　高院：今天不會有結果│TVBS新聞網, eucDis = 18.28789340300136
news_008929: 每日一短蘋｜蘋果新聞網｜蘋果日報, eucDis = 18.28837491025978
news_085642: 〈快訊〉取締廟會遭圍毆　襲警3嫌遭聲押│TVBS新聞網, eucDis = 18.30374950949815
news_066708: 今彩539  頭獎 2注中 - 財經 - 中央社, eucDis = 18.30547605397906
news_049929: 澳網公開賽 納達爾晉級 - 體育 - 中央社, eucDis = 18.315635760080152
news_070063: 地方掃描－地母廟捐關廟麵 弱勢戶受惠 - 地方新聞 - 中國時報, eucDis = 18.316449761663893
news_077683: 《商情》4月23日倫敦LME基本金屬庫存報告 - 財經 - 時報資訊, eucDis = 18.328458373866848
news_013203: 地方掃描－安平觀夕平台 清出大批垃圾 - 地方新聞 - 中國時報, eucDis = 18.32888514855998
news_036025: 〈北部〉到雲仙飽「纜」美景 - 地方 - 自由時報電子報, eucDis = 18.332856512095418
news_044513: 地方掃描－中壢中山里 空中花園藏愛 - 地方新聞 - 中國時報, eucDis = 18.33370701305567
news_004628: 消費快訊－迎接102年 部落跨年報名開始 - 藝文副刊 - 中國時報, eucDis = 18.336282832303613
news_099469: 舒莉 嫩腿學溜冰｜蘋果新聞網｜蘋果日報, eucDis = 18.337688558181355
news_059339: 〈快訊〉北捷車站男子持刀砍人　警制伏偵訊│TVBS新聞網, eucDis = 18.338598687186668
news_043329: 隱忍 - 副刊 - 自由時報電子報, eucDis = 18.345976454399118
news_088611: 品冠吹箭膨風 沒準頭｜蘋果新聞網｜蘋果日報, eucDis = 18.34857572594864
news_089955: 郭俊佑綁辮子 TAKE蓄山羊鬍｜蘋果新聞網｜蘋果日報, eucDis = 18.35647237993637
news_051679: 盧彥勳拿下2014賽季首勝 - 體育 - 中時 , eucDis = 18.36066018887508
news_086782: 客機黑盒子 烏叛軍即將交大馬 - 國際 - 中央社, eucDis = 18.361469677368582
news_072411: 辣妹增色｜蘋果新聞網｜蘋果日報, eucDis = 18.36450132031915
news_017614: 〈快訊〉頭號通緝要犯落網　「牛皮」攜槍被逮│TVBS新聞網, eucDis = 18.3657223454557
news_037053: 水岸臺北2017端午嘉年華 柯文哲包粽子 - 政治 - 中時 , eucDis = 18.370952126626545
news_026095: 最美王妃票選　凱特第3勝黛妃｜蘋果新聞網｜蘋果日報, eucDis = 18.376500760340917
news_097800: 法國下議院 通過延長緊急狀態至3個月 - 國際 - 工商 , eucDis = 18.378759322947587
news_069094: 地方掃描－醫院送粽子 嘉義社送電鍋 - 地方新聞 - 中國時報, eucDis = 18.39471623049444
news_020385: ​〈快訊〉羅瑩雪：扁若保外就醫　期限1個月│TVBS新聞網, eucDis = 18.39603345619836
news_036321: 澎湖7點57分發生有感地震 馬公一陣天搖地動 | 生活新聞 | 生活 | 聯合新聞網, eucDis = 18.407635126742438
news_010589: 古巨基抱抱嚇哭男娃娃｜蘋果新聞網｜蘋果日報, eucDis = 18.408405462799234
news_061470: 戰事重演｜蘋果新聞網｜蘋果日報, eucDis = 18.413628628000918
news_057240: 橋本環奈 白眼挖鼻大崩壞｜蘋果新聞網｜蘋果日報, eucDis = 18.4156257466501
news_015739: 魔鬼阿諾啃冰抗艷陽｜蘋果新聞網｜蘋果日報, eucDis = 18.432514274363587
news_058164: 都會掃描－男欲跳河 鬼門關前救回 - 地方新聞 - 中國時報, eucDis = 18.43890985028295
news_044822: 踢足球 反徵稅｜蘋果新聞網｜蘋果日報, eucDis = 18.439349866792025
news_021249: 車壇大事紀－13年式MAZDA CX-5 農曆年前不漲價 - 焦點要聞 - 中國時報, eucDis = 18.441592067724105
news_061300: 地方掃描－猴探井整建 休園1個月 - 地方新聞 - 中國時報, eucDis = 18.444236492336547
news_089696: 《蘋果數》 上海中老年人 5成有勃起障礙｜蘋果新聞網｜蘋果日報, eucDis = 18.44807790906323
news_018556: Non, eucDis = 18.45196731632207
news_049840: 影／中油工會聲援中油觀塘天然氣接收站開發 | 綜合 | 要聞 | 聯合新聞網, eucDis = 18.457573851441552
news_096504: 都會掃描－愛媽咪大聲說 留言抽大獎 - 焦點要聞 - 中國時報, eucDis = 18.460098594572976
news_098126: 台積電大漲領軍 重回9600大關｜蘋果新聞網｜蘋果日報, eucDis = 18.469709034293352
news_031368: 地方掃描－行竊高鐵工地機具 嫌犯落網 - 地方新聞 - 中國時報, eucDis = 18.470967869596187
news_005687: 都會掃描－老婦遇詐 郵局人員機警處置 - 焦點要聞 - 中國時報, eucDis = 18.471954067743063
news_002543: 法務部11時30分說明扁保外就醫案 - 社會 - 中央社, eucDis = 18.48033082372899
news_097807: 選舉看板－林瑩蓉 百姓宗親會打氣 - 地方新聞 - 中國時報, eucDis = 18.482315543406333
news_055403: 地方掃描－西湖柚見中秋 農產品展售 - 地方新聞 - 中國時報, eucDis = 18.485639596290156
news_065259: UNIQLO進駐彰化 限時特價 - 生活 - 中時 , eucDis = 18.492321542930025
news_092289: 池珍熙赴港 自備LV華服｜蘋果新聞網｜蘋果日報, eucDis = 18.497845649276286
news_064840: 美女秀琴藝｜蘋果新聞網｜蘋果日報, eucDis = 18.50072041071963
news_083748: 放水燈祈福｜蘋果新聞網｜蘋果日報, eucDis = 18.50310853207621
news_061022: 〈快訊〉韓開槍濫殺士兵　軍方找到交火中│TVBS新聞網, eucDis = 18.50319244440005
